"","closeness_centrality"
"1938819320",575507.818197968
"1312335310",898317.313490424
"2387245026",887483.209855965
"2387245027",881527.230312969
"2387245029",875063.340172189
"250327618",786450.515005146
"21990630",758577.01931994
"21990629",672880.412787976
"21990628",624891.369787511
"2902624650",576732.409083375
"1350430181",570359.557876389
"1721713699",567249.58231615
"1046391033",577830.946076306
"5046314092",591216.288663442
"5046314091",584688.795833187
"5247852872",571168.961808235
"1401908258",664032.008753511
"1046306167",782392.63718591
"5224610587",750026.742515486
"5224610588",737309.964584916
"5224610594",718782.233334601
"1046307276",705546.917125917
"5224610590",704962.122889499
"4922952363",694309.202375298
"5224610579",695866.761536716
"25067307",666080.662209042
"1311962055",640014.432344322
"1311961988",629563.571895246
"25067476",557419.690575745
"1951616322",538158.947820514
"25161360",505903.70310172
"1684511838",500105.836883772
"3533830193",496705.369153729
"1310663631",866288.091350585
"5046314043",703018.632524628
"5046314041",710987.128782202
"5046314042",715349.941428947
"2793874580",579397.952458519
"1497452182",587182.4970217
"1497452174",591272.099900303
"1497452171",578435.888194999
"1536948578",825931.398910207
"1536948612",828059.110920752
"1852996954",835034.969425007
"25264998",841965.842089872
"2504847039",865937.714565734
"25264997",905082.51105074
"20955170",951004.324654686
"1536948646",712437.314718365
"20626301",705636.456621766
"1990694624",635987.307654561
"5146186509",642371.659185716
"1782727996",643281.542155679
"1835812754",642261.502094023
"109735",636787.558441117
"1572551227",859472.585804747
"367057576",853453.008391271
"1536948517",849254.997886279
"1536948631",871407.846664501
"2504822135",784573.213609676
"1536948608",803816.807125596
"367057575",818993.026779169
"1536948622",753019.036718104
"25067268",740743.703260303
"25067269",713541.118656476
"5238587995",655700.314839559
"4762892564",512417.536076226
"4690127262",526249.846293479
"1938819315",537760.085286539
"2387207426",541648.502521507
"2387207425",544919.2335669
"30057968",700661.716995688
"1684511892",549012.403877691
"1689388042",704088.672087803
"1719899595",572942.49128453
"5087519101",598432.95671106
"2334502396",607312.724471869
"1719899617",562290.423650436
"1719899611",547733.036393279
"25066340",542493.188506298
"5087519091",541239.993730611
"107646",748129.201984562
"4922952353",741302.708211293
"1726730082",735542.171111232
"1939558644",481937.965120486
"1311961944",483715.552957972
"1311962202",472542.394735066
"2538458886",463903.91625679
"24949784",461743.495427636
"1939558661",450864.493419263
"5218844445",584793.485763336
"24950065",597711.785367344
"5227220845",600222.315829821
"5146186508",637140.759378575
"5201625542",636068.241625451
"5201625538",632957.83584833
"1990694638",631443.15086693
"4085778920",700300.416025472
"1536948529",707286.097908571
