"","closeness_centrality"
"1492169299",789524.937313524
"1492169329",795550.652871959
"1492175302",794354.125821194
"1492175321",791708.047375277
"2992062894",767905.899855661
"3933088998",724301.436578637
"3537280110",785051.352677989
"3537280108",844836.779195176
"1492410200",859316.404619188
"1492410211",918935.015960711
"3933088999",715743.609847298
"1492410171",725075.78397022
"1492383932",773857.40791784
"1492383929",783830.648464684
"1492383935",785456.738432184
"1671607263",786458.657972466
"1492383931",788980.136384106
"1492175313",790571.949745048
"1492169346",788224.908605308
"1492169340",786022.520644159
"4362288153",776755.26592175
"1492169258",774149.522186386
"1686719004",845050.416445865
"1686719039",887945.074465154
"1686719043",943717.845302647
"1686719046",975076.721887723
"1691663888",666831.352863456
"1691663885",668601.75657206
"1691663887",669212.44188023
"1895925946",672269.298924941
"1691663875",674915.298828503
"1691663882",675169.145013422
"1691663891",672588.17717998
"1691663876",670309.997304776
"1691663881",672520.493482002
"4326586172",673369.659252051
"4326586173",673643.226202441
"1691663884",671636.758316458
"1691663879",668536.593843948
"1691663877",655411.02501039
"1691663880",666330.160468757
"1691663886",665245.558963173
"777839234",664728.141335546
"777839236",664355.557624203
"1691663883",666997.629184507
"1888086819",717193.024262583
"3327901008",737368.252379245
"4245791605",740078.020793413
"1725216355",746960.677569958
"4069715676",751990.476636618
"1985553020",1057004.28695397
"1985553018",1047019.29223106
"4428364713",924882.145268106
"1283643429",870903.170197752
"1725216267",837179.048403176
"1725216511",871402.182378485
"1725216573",858132.21281227
"1985546061",856240.4977238
"3208518286",845541.764811338
"3933090549",799829.139134011
"3208518297",866256.871288967
"3208518295",910539.677747357
"1725216810",930031.733289175
"3933086390",1009570.22976963
"1725216871",1018048.61646701
"1725216852",850849.151495992
"1725216833",829551.28020805
"1725216788",728165.996039175
"3933082766",663169.374660707
"1833117901",679053.50640035
"1725216520",781275.747245167
"446051190",848646.094274226
"1899270748",761827.678993813
"446051202",802716.082740867
"1492169343",785996.914646978
"4419701255",784265.425426751
"4419686624",774045.903560575
"1725216360",748481.838031177
"1492410197",773959.124837146
"1725216546",733967.330917134
"446051199",809250.362841106
"1725216333",767195.911079163
"1899270747",761714.704479817
"663121238",829270.969886437
"1833120504",830501.703004018
"3281154367",831779.688952171
"4069715680",827632.748876228
"3281154365",822320.065249484
"1188538056",821254.49905719
"2835280017",820492.367294412
"3163980133",711069.886434311
"780918185",707670.002011644
"35523911",732281.656309652
"2984287412",737983.322805022
"576757225",749349.510970128
"312718313",815038.200024844
"777825692",716640.489139265
"1953967154",689302.218283668
"2657082788",688215.079169292
"1953967167",684655.654464471
"4419686652",731937.273181897
"3933082765",676960.775322689
"775942987",685889.207922767
"3213448178",707235.340989947
"1900213539",767971.568085977
"312718291",838375.441229576
"775942450",895842.756391584
"778813789",676673.151945468
"2005895269",901412.01117778
"1985549832",942335.918099506
"1985546057",952376.715152427
"1985549819",924446.233073715
"1287239206",1138068.58731075
"1287339281",1142948.78562475
"1287239240",1150890.21941492
"1287239271",1161463.91999533
"1287339272",1168829.1276874
"1287239201",1198628.79403973
"1287222218",1230243.60413507
"1287222258",1262978.58543014
"1985549822",1106592.43041759
"291210712",1018195.13843907
"319157894",949195.769894536
"3933090381",894561.332717741
"2005895268",945330.382646978
"2005895266",959415.777750959
"2462381375",815802.910713149
"3924765037",823557.471771906
"1492169296",840866.922778614
"1492169270",856328.761238421
"1492169331",867950.877002533
"367849063",795649.53546184
"955611523",968466.418563472
"3208518282",963240.49112901
"955611524",955407.93295167
"477075428",923382.421906885
"3933090382",897118.162859202
"1985551131",959263.895663887
"2707985442",1010838.26796208
"3933094374",1107248.83748306
"1985551133",1116232.86546048
"1833110319",1126990.88071603
"1492169348",759088.363047528
"1492169336",760705.703065809
"1492169318",767708.190437045
"1492169279",772824.45119662
"31401448",1322125.75916425
"580691511",1292151.44993073
"316174765",1285345.99876124
"580697415",1278200.55518662
"2664323301",1233369.39994111
"580734964",1205903.70609875
"580735057",1134163.2589297
"316174753",1120929.36977689
"4326586154",1102897.98412439
"358357550",1075394.56157213
"2664366961",968564.201020185
"439234005",941434.144981194
"2664366963",895545.836792569
"245507602",862530.249159465
"2664366973",847865.630563098
"4326586139",793299.56000259
"245507511",768274.566342295
"778810244",688181.150172456
"1888086803",712414.501847018
"1881118510",714710.990785025
"1895925155",910936.875838082
"775933250",879213.010872456
"775933064",758708.597802507
"775946937",676030.523467672
"775946936",672962.26173056
"777831459",663021.206337244
"1287222120",1268961.02585757
"1287244733",1235278.46545756
"1287244737",1203827.72358906
"1287239223",1197880.95067724
"1287239267",1178936.7245168
"1287339236",1174358.85530141
"1287239245",1166532.51909313
"1287239243",1160613.36960054
"1287239241",1156004.26139044
"1287339189",1148335.58299445
"343337634",1057678.7475807
"2209383495",679191.988889708
"2209383606",1739614.64700505
"3949536060",1721283.19719659
"2209383382",1511268.77325093
"3221110914",1464068.64074618
"2209383590",1457134.77233383
"2209383408",1443072.39591628
"2209383400",1323364.72465217
"2209383555",1282544.48668923
"2209383436",1234397.8542812
"2209383537",1203709.29283643
"2209383564",1120937.72788351
"2209383602",1119389.64612951
"2664366962",967060.352953621
"2209383547",962144.442936552
"2209383369",951654.340341419
"2209383568",941358.177934133
"2664366964",894470.509603745
"2664366971",849609.863800586
"2664366970",844691.880245309
"3374135332",687965.284944388
"2209383610",683502.676117491
"2664366967",849393.389980659
"2664366965",898875.483304387
"2209383426",945333.162550894
"2209383530",955985.101308223
"2209383402",966443.599212802
"2209383458",1123294.84156337
"2209383380",1124221.59492881
"2209383528",1206652.53625195
"2209383491",1238590.7090768
"2209383398",1285172.29635906
"2209383394",1325815.61468262
"3374135480",1436233.21424996
"2209383460",1444819.36112041
"2209383566",1458762.24395902
"3221110917",1465441.75281711
"2209383467",1513533.39133774
"2209383428",1658896.27171369
"3374126178",1729093.3995837
"2209383581",1742132.02116372
"2209528942",679661.098859149
"2209383543",677422.086020821
"1492416087",670264.81734384
"1877472370",679062.782096416
"363386520",681046.319195994
"4069715677",687968.955741303
"1877451205",695885.695041466
"245507280",697012.588966303
"1877451238",698180.547205442
"4069715678",702665.321450824
"2297005426",727917.16032606
"780918183",706090.638404454
"780918181",704840.358782752
"576763211",703684.937523313
"777769013",744767.319668065
"777769015",742383.331406612
"777769017",740344.678512784
"777769018",735366.066959915
"777830142",683521.037825915
"777836012",682704.71496461
"777835378",669817.480268079
"1283637408",667668.414465791
"4326586166",682003.382851363
"4326586167",680685.89806664
"2972446168",1046769.00146318
"364328927",1046693.03854781
"245806702",1046626.76474952
"2975231286",672755.194381369
"2975231287",672720.270640984
"2975231288",672620.208461495
"2975231289",672445.829381652
"2975231290",672227.992535656
"2975231291",670952.365991475
"777807061",823876.782698334
"475511476",878628.391759002
"2984287413",747977.371357645
"2984287414",744120.894340715
"2984287415",733283.97304629
"777827943",656739.61241994
"777830787",655328.10158907
"775946938",661378.186535792
